Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_5_6,VGND,li1,8.5100,21.7600,0.000036
FILLER_5_3,VGND,li1,7.1300,21.7600,0.000036
FILLER_4_71,VGND,li1,37.9500,16.3200,0.000018
FILLER_4_37,VGND,li1,22.5400,16.3200,0.000012
FILLER_4_29,VGND,li1,18.8600,16.3200,0.000012
FILLER_4_27,VGND,li1,17.7100,16.3200,0.000012
FILLER_4_24,VGND,li1,16.7900,16.3200,0.000012
FILLER_4_21,VGND,li1,15.4100,16.3200,0.000012
FILLER_4_18,VGND,li1,14.0300,16.3200,0.000012
FILLER_4_15,VGND,li1,12.6500,16.3200,0.000012
FILLER_4_12,VGND,li1,11.2700,16.3200,0.000012
FILLER_4_9,VGND,li1,9.8900,16.3200,0.000012
FILLER_4_6,VGND,li1,8.5100,16.3200,0.000012
FILLER_4_3,VGND,li1,7.1300,16.3200,0.000012
FILLER_3_71,VGND,li1,37.9500,16.3200,0.000018
FILLER_3_68,VGND,li1,37.0300,16.3200,0.000018
FILLER_3_55,VGND,li1,30.5900,16.3200,0.000016
FILLER_3_28,VGND,li1,18.1700,16.3200,0.000012
FILLER_3_21,VGND,li1,14.9500,16.3200,0.000012
FILLER_3_18,VGND,li1,14.0300,16.3200,0.000012
FILLER_3_15,VGND,li1,12.6500,16.3200,0.000012
FILLER_3_12,VGND,li1,11.2700,16.3200,0.000012
FILLER_3_9,VGND,li1,9.8900,16.3200,0.000012
FILLER_3_6,VGND,li1,8.5100,16.3200,0.000012
FILLER_3_3,VGND,li1,7.1300,16.3200,0.000012
FILLER_2_32,VGND,li1,20.4700,10.8800,0.000039
FILLER_2_29,VGND,li1,19.0900,10.8800,0.000039
FILLER_2_18,VGND,li1,13.8000,10.8800,0.000039
FILLER_2_15,VGND,li1,12.6500,10.8800,0.000039
FILLER_2_12,VGND,li1,11.2700,10.8800,0.000039
FILLER_2_9,VGND,li1,9.8900,10.8800,0.000039
FILLER_2_6,VGND,li1,8.5100,10.8800,0.000039
FILLER_2_3,VGND,li1,7.1300,10.8800,0.000039
FILLER_1_71,VGND,li1,37.9500,10.8800,0.000062
FILLER_1_68,VGND,li1,37.0300,10.8800,0.000062
FILLER_1_57,VGND,li1,31.9700,10.8800,0.000053
FILLER_1_54,VGND,li1,30.3600,10.8800,0.000053
FILLER_1_20,VGND,li1,14.4900,10.8800,0.000039
FILLER_1_9,VGND,li1,9.8900,10.8800,0.000039
FILLER_1_6,VGND,li1,8.5100,10.8800,0.000039
FILLER_1_3,VGND,li1,7.1300,10.8800,0.000039
FILLER_0_62,VGND,li1,34.0400,5.4400,0.000006
FILLER_0_29,VGND,li1,19.0900,5.4400,0.000006
FILLER_0_9,VGND,li1,9.8900,5.4400,0.000007
FILLER_0_6,VGND,li1,8.5100,5.4400,0.000007
FILLER_0_3,VGND,li1,7.1300,5.4400,0.000007
hold19,VGND,li1,26.2200,32.6400,0.000044
hold18,VGND,li1,33.1200,27.2000,0.000017
hold17,VGND,li1,34.0400,32.6400,0.000057
hold16,VGND,li1,28.9800,5.4400,0.000006
hold15,VGND,li1,23.9200,10.8800,0.000038
hold14,VGND,li1,33.1200,16.3200,0.000018
hold13,VGND,li1,34.5000,10.8800,0.000062
clkbuf_1_1__f_clk,VGND,li1,32.6600,32.6400,0.000057
clkbuf_1_0__f_clk,VGND,li1,33.5800,10.8800,0.000062
clkbuf_0_clk,VGND,li1,32.6600,21.7600,0.000065
output12,VGND,li1,36.3400,5.4400,0.000006
output11,VGND,li1,33.1200,38.0800,0.000003
output10,VGND,li1,28.9800,21.7600,0.000053
output9,VGND,li1,36.3400,21.7600,0.000065
input8,VGND,li1,22.5400,38.0800,0.000002
input7,VGND,li1,20.2400,16.3200,0.000012
input6,VGND,li1,12.4200,5.4400,0.000007
input5,VGND,li1,16.1000,5.4400,0.000006
input4,VGND,li1,21.6200,5.4400,0.000005
input3,VGND,li1,12.4200,10.8800,0.000039
input2,VGND,li1,21.6200,32.6400,0.000036
input1,VGND,li1,16.1000,10.8800,0.000039
TAP_TAPCELL_ROW_11_37,VGND,li1,31.0500,37.7880,0.000003
TAP_TAPCELL_ROW_11_36,VGND,li1,18.1700,37.7880,0.000002
TAP_TAPCELL_ROW_10_35,VGND,li1,18.1700,32.9310,0.000036
TAP_TAPCELL_ROW_9_34,VGND,li1,31.0500,32.3480,0.000057
TAP_TAPCELL_ROW_8_33,VGND,li1,18.1700,27.4910,0.000009
TAP_TAPCELL_ROW_7_32,VGND,li1,31.0500,26.9080,0.000014
TAP_TAPCELL_ROW_6_31,VGND,li1,18.1700,22.0510,0.000036
TAP_TAPCELL_ROW_5_30,VGND,li1,31.0500,21.4680,0.000065
TAP_TAPCELL_ROW_4_29,VGND,li1,18.1700,16.6110,0.000012
TAP_TAPCELL_ROW_3_28,VGND,li1,31.0500,16.0280,0.000016
TAP_TAPCELL_ROW_2_27,VGND,li1,18.1700,11.1710,0.000039
TAP_TAPCELL_ROW_1_26,VGND,li1,31.0500,10.5880,0.000053
TAP_TAPCELL_ROW_0_25,VGND,li1,31.0500,5.7310,0.000006
TAP_TAPCELL_ROW_0_24,VGND,li1,18.1700,5.7310,0.000006
PHY_EDGE_ROW_11_Left_23,VGND,li1,5.7500,38.0800,0.000002
PHY_EDGE_ROW_10_Left_22,VGND,li1,5.7500,32.6400,0.000036
PHY_EDGE_ROW_9_Left_21,VGND,li1,5.7500,32.6400,0.000036
PHY_EDGE_ROW_8_Left_20,VGND,li1,5.7500,27.2000,0.000009
PHY_EDGE_ROW_7_Left_19,VGND,li1,5.7500,27.2000,0.000009
PHY_EDGE_ROW_6_Left_18,VGND,li1,5.7500,21.7600,0.000036
PHY_EDGE_ROW_5_Left_17,VGND,li1,5.7500,21.7600,0.000036
PHY_EDGE_ROW_4_Left_16,VGND,li1,5.7500,16.3200,0.000012
PHY_EDGE_ROW_3_Left_15,VGND,li1,5.7500,16.3200,0.000012
PHY_EDGE_ROW_2_Left_14,VGND,li1,5.7500,10.8800,0.000039
PHY_EDGE_ROW_1_Left_13,VGND,li1,5.7500,10.8800,0.000039
PHY_EDGE_ROW_0_Left_12,VGND,li1,5.7500,5.4400,0.000007
PHY_EDGE_ROW_11_Right_11,VGND,li1,38.8700,38.0800,0.000003
PHY_EDGE_ROW_10_Right_10,VGND,li1,38.8700,32.6400,0.000057
PHY_EDGE_ROW_9_Right_9,VGND,li1,38.8700,32.6400,0.000057
PHY_EDGE_ROW_8_Right_8,VGND,li1,38.8700,27.2000,0.000017
PHY_EDGE_ROW_7_Right_7,VGND,li1,38.8700,27.2000,0.000017
PHY_EDGE_ROW_6_Right_6,VGND,li1,38.8700,21.7600,0.000065
PHY_EDGE_ROW_5_Right_5,VGND,li1,38.8700,21.7600,0.000065
PHY_EDGE_ROW_4_Right_4,VGND,li1,38.8700,16.3200,0.000018
PHY_EDGE_ROW_3_Right_3,VGND,li1,38.8700,16.3200,0.000018
PHY_EDGE_ROW_2_Right_2,VGND,li1,38.8700,10.8800,0.000062
PHY_EDGE_ROW_1_Right_1,VGND,li1,38.8700,10.8800,0.000062
PHY_EDGE_ROW_0_Right_0,VGND,li1,38.8700,5.4400,0.000006
_43_,VGND,li1,33.8100,16.3200,0.000018
_42_,VGND,li1,26.9100,32.6400,0.000044
_41_,VGND,li1,33.8100,27.2000,0.000017
_40_,VGND,li1,25.0700,10.8800,0.000038
_39_,VGND,li1,27.8300,16.3200,0.000014
_38_,VGND,li1,20.2400,10.8800,0.000039
_37_,VGND,li1,24.3800,27.2000,0.000009
_36_,VGND,li1,24.3800,16.3200,0.000011
_35_,VGND,li1,26.2200,38.0800,0.000002
_34_,VGND,li1,28.0600,16.3200,0.000014
_33_,VGND,li1,23.9200,16.3200,0.000012
_32_,VGND,li1,16.5600,16.3200,0.000012
_31_,VGND,li1,26.9100,27.2000,0.000012
_30_,VGND,li1,28.2900,27.2000,0.000012
_29_,VGND,li1,23.2300,27.2000,0.000009
_28_,VGND,li1,20.2400,27.2000,0.000009
_27_,VGND,li1,27.8300,10.8800,0.000046
_26_,VGND,li1,25.3000,5.4400,0.000005
_25_,VGND,li1,24.6100,21.7600,0.000036
_24_,VGND,li1,32.4300,5.4400,0.000006
_23_,VGND,li1,16.5600,10.8800,0.000039
_22_,VGND,li1,20.7000,16.3200,0.000012
_21_,VGND,li1,22.3100,32.6400,0.000036
_20_,VGND,li1,35.6500,16.3200,0.000018
