Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_20_125,VPWR,li1,63.0200,62.5600,1.799999
FILLER_20_122,VPWR,li1,61.8700,62.5600,1.799999
FILLER_20_119,VPWR,li1,60.4900,62.5600,1.799999
FILLER_20_116,VPWR,li1,59.1100,62.5600,1.799999
FILLER_20_113,VPWR,li1,57.7300,62.5600,1.799999
FILLER_20_109,VPWR,li1,55.8900,62.5600,1.799999
FILLER_20_106,VPWR,li1,54.5100,62.5600,1.799999
FILLER_20_103,VPWR,li1,53.1300,62.5600,1.799999
FILLER_20_100,VPWR,li1,51.7500,62.5600,1.799999
FILLER_20_97,VPWR,li1,50.3700,62.5600,1.799999
FILLER_20_94,VPWR,li1,48.9900,62.5600,1.799999
FILLER_20_91,VPWR,li1,47.6100,62.5600,1.799999
FILLER_20_88,VPWR,li1,46.2300,62.5600,1.799999
FILLER_20_85,VPWR,li1,44.8500,62.5600,1.799999
FILLER_20_83,VPWR,li1,43.4700,62.5600,1.799999
FILLER_20_80,VPWR,li1,42.5500,62.5600,1.799999
FILLER_20_77,VPWR,li1,41.1700,62.5600,1.799999
FILLER_20_74,VPWR,li1,39.7900,62.5600,1.799999
FILLER_20_63,VPWR,li1,34.7300,62.5600,1.799999
FILLER_20_60,VPWR,li1,33.3500,62.5600,1.799999
FILLER_20_57,VPWR,li1,31.9700,62.5600,1.799999
FILLER_20_53,VPWR,li1,30.1300,62.5600,1.799999
FILLER_20_50,VPWR,li1,28.7500,62.5600,1.799999
FILLER_20_47,VPWR,li1,27.3700,62.5600,1.799999
FILLER_20_44,VPWR,li1,25.9900,62.5600,1.799999
FILLER_20_41,VPWR,li1,24.6100,62.5600,1.799999
FILLER_20_38,VPWR,li1,23.2300,62.5600,1.799999
FILLER_20_35,VPWR,li1,21.8500,62.5600,1.800000
FILLER_20_32,VPWR,li1,20.4700,62.5600,1.800000
FILLER_20_29,VPWR,li1,19.0900,62.5600,1.800000
FILLER_20_27,VPWR,li1,17.7100,62.5600,1.800000
FILLER_20_24,VPWR,li1,16.7900,62.5600,1.800000
FILLER_20_21,VPWR,li1,15.4100,62.5600,1.800000
FILLER_20_18,VPWR,li1,14.0300,62.5600,1.800000
FILLER_20_15,VPWR,li1,12.6500,62.5600,1.800000
FILLER_20_12,VPWR,li1,11.2700,62.5600,1.800000
FILLER_20_9,VPWR,li1,9.8900,62.5600,1.800000
FILLER_20_6,VPWR,li1,8.5100,62.5600,1.800000
FILLER_20_3,VPWR,li1,7.1300,62.5600,1.800000
FILLER_19_125,VPWR,li1,63.0200,57.1200,1.800000
FILLER_19_122,VPWR,li1,61.8700,57.1200,1.800000
FILLER_19_119,VPWR,li1,60.4900,57.1200,1.800000
FILLER_19_116,VPWR,li1,59.1100,57.1200,1.800000
FILLER_19_113,VPWR,li1,57.7300,57.1200,1.800000
FILLER_19_111,VPWR,li1,56.3500,57.1200,1.800000
FILLER_19_108,VPWR,li1,55.4300,57.1200,1.800000
FILLER_19_105,VPWR,li1,54.0500,57.1200,1.800000
FILLER_19_102,VPWR,li1,52.6700,57.1200,1.800000
FILLER_19_99,VPWR,li1,51.2900,57.1200,1.800000
FILLER_19_96,VPWR,li1,49.9100,57.1200,1.800000
FILLER_19_93,VPWR,li1,48.5300,57.1200,1.800000
FILLER_19_90,VPWR,li1,47.1500,57.1200,1.800000
FILLER_19_87,VPWR,li1,45.7700,57.1200,1.800000
FILLER_19_84,VPWR,li1,44.3900,57.1200,1.800000
FILLER_19_81,VPWR,li1,43.0100,57.1200,1.800000
FILLER_19_78,VPWR,li1,41.6300,57.1200,1.800000
FILLER_19_75,VPWR,li1,40.2500,57.1200,1.800000
