Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_20_125,VGND,li1,63.0200,59.8400,0.000001
FILLER_20_122,VGND,li1,61.8700,59.8400,0.000001
FILLER_20_119,VGND,li1,60.4900,59.8400,0.000001
FILLER_20_116,VGND,li1,59.1100,59.8400,0.000001
FILLER_20_113,VGND,li1,57.7300,59.8400,0.000001
FILLER_20_109,VGND,li1,55.8900,59.8400,0.000001
FILLER_20_106,VGND,li1,54.5100,59.8400,0.000001
FILLER_20_103,VGND,li1,53.1300,59.8400,0.000001
FILLER_20_100,VGND,li1,51.7500,59.8400,0.000001
FILLER_20_97,VGND,li1,50.3700,59.8400,0.000001
FILLER_20_94,VGND,li1,48.9900,59.8400,0.000001
FILLER_20_91,VGND,li1,47.6100,59.8400,0.000001
FILLER_20_88,VGND,li1,46.2300,59.8400,0.000001
FILLER_20_85,VGND,li1,44.8500,59.8400,0.000001
FILLER_20_83,VGND,li1,43.4700,59.8400,0.000001
FILLER_20_80,VGND,li1,42.5500,59.8400,0.000001
FILLER_20_77,VGND,li1,41.1700,59.8400,0.000001
FILLER_20_74,VGND,li1,39.7900,59.8400,0.000001
FILLER_20_63,VGND,li1,34.7300,59.8400,0.000001
FILLER_20_60,VGND,li1,33.3500,59.8400,0.000001
FILLER_20_57,VGND,li1,31.9700,59.8400,0.000001
FILLER_20_53,VGND,li1,30.1300,59.8400,0.000001
FILLER_20_50,VGND,li1,28.7500,59.8400,0.000001
FILLER_20_47,VGND,li1,27.3700,59.8400,0.000001
FILLER_20_44,VGND,li1,25.9900,59.8400,0.000001
FILLER_20_41,VGND,li1,24.6100,59.8400,0.000000
FILLER_20_38,VGND,li1,23.2300,59.8400,0.000000
FILLER_20_35,VGND,li1,21.8500,59.8400,0.000000
FILLER_20_32,VGND,li1,20.4700,59.8400,0.000000
FILLER_20_29,VGND,li1,19.0900,59.8400,0.000000
FILLER_20_27,VGND,li1,17.7100,59.8400,0.000000
FILLER_20_24,VGND,li1,16.7900,59.8400,0.000000
FILLER_20_21,VGND,li1,15.4100,59.8400,0.000000
FILLER_20_18,VGND,li1,14.0300,59.8400,0.000000
FILLER_20_15,VGND,li1,12.6500,59.8400,0.000000
FILLER_20_12,VGND,li1,11.2700,59.8400,0.000000
FILLER_20_9,VGND,li1,9.8900,59.8400,0.000000
FILLER_20_6,VGND,li1,8.5100,59.8400,0.000000
FILLER_20_3,VGND,li1,7.1300,59.8400,0.000000
FILLER_19_125,VGND,li1,63.0200,59.8400,0.000001
FILLER_19_122,VGND,li1,61.8700,59.8400,0.000001
FILLER_19_119,VGND,li1,60.4900,59.8400,0.000001
FILLER_19_116,VGND,li1,59.1100,59.8400,0.000001
FILLER_19_113,VGND,li1,57.7300,59.8400,0.000001
FILLER_19_111,VGND,li1,56.3500,59.8400,0.000001
FILLER_19_108,VGND,li1,55.4300,59.8400,0.000001
FILLER_19_105,VGND,li1,54.0500,59.8400,0.000001
FILLER_19_102,VGND,li1,52.6700,59.8400,0.000001
FILLER_19_99,VGND,li1,51.2900,59.8400,0.000001
FILLER_19_96,VGND,li1,49.9100,59.8400,0.000001
FILLER_19_93,VGND,li1,48.5300,59.8400,0.000001
FILLER_19_90,VGND,li1,47.1500,59.8400,0.000001
FILLER_19_87,VGND,li1,45.7700,59.8400,0.000001
FILLER_19_84,VGND,li1,44.3900,59.8400,0.000001
FILLER_19_81,VGND,li1,43.0100,59.8400,0.000001
FILLER_19_78,VGND,li1,41.6300,59.8400,0.000001
FILLER_19_75,VGND,li1,40.2500,59.8400,0.000001
FILLER_19_72,VGND,li1,38.8700,59.8400,0.000001
FILLER_19_69,VGND,li1,37.4900,59.8400,0.000001
FILLER_19_66,VGND,li1,36.1100,59.8400,0.000001
FILLER_19_63,VGND,li1,34.7300,59.8400,0.000001
FILLER_19_60,VGND,li1,33.3500,59.8400,0.000001
FILLER_19_57,VGND,li1,31.9700,59.8400,0.000001
FILLER_19_54,VGND,li1,30.3600,59.8400,0.000001
FILLER_19_51,VGND,li1,29.2100,59.8400,0.000001
FILLER_19_48,VGND,li1,27.8300,59.8400,0.000001
FILLER_19_45,VGND,li1,26.4500,59.8400,0.000001
FILLER_19_42,VGND,li1,25.0700,59.8400,0.000001
FILLER_19_39,VGND,li1,23.6900,59.8400,0.000000
FILLER_19_36,VGND,li1,22.3100,59.8400,0.000000
FILLER_19_33,VGND,li1,20.9300,59.8400,0.000000
FILLER_19_30,VGND,li1,19.5500,59.8400,0.000000
FILLER_19_27,VGND,li1,18.1700,59.8400,0.000000
FILLER_19_24,VGND,li1,16.7900,59.8400,0.000000
FILLER_19_21,VGND,li1,15.4100,59.8400,0.000000
FILLER_19_18,VGND,li1,14.0300,59.8400,0.000000
FILLER_19_15,VGND,li1,12.6500,59.8400,0.000000
FILLER_19_12,VGND,li1,11.2700,59.8400,0.000000
FILLER_19_9,VGND,li1,9.8900,59.8400,0.000000
FILLER_19_6,VGND,li1,8.5100,59.8400,0.000000
FILLER_19_3,VGND,li1,7.1300,59.8400,0.000000
FILLER_18_124,VGND,li1,62.7900,54.4000,0.000000
FILLER_18_121,VGND,li1,61.4100,54.4000,0.000000
FILLER_18_118,VGND,li1,60.0300,54.4000,0.000000
