net,length_um
net7,77.9µm
net6,73.11µm
net10,43.26µm
net11,38.215µm
clknet_0_clk,36.32µm
_05_,36.02µm
net17,33.07µm
net12,32.1µm
net5,27.025µm
_04_,26.14µm
_09_,24.36µm
net2,21.02µm
net3,20.46µm
_19_,19.18µm
net9,18.88µm
net4,18.56µm
clk,17.11µm
net15,16.52µm
_08_,15.02µm
net13,13.96µm
_06_,13.66µm
D[3],13.1µm
clknet_1_0__leaf_clk,12.42µm
_16_,11.7µm
mode[1],11.49µm
D[0],9.79µm
D[1],9.22µm
net19,9.11µm
_10_,9.065µm
mode[0],8.77µm
_07_,8.62µm
_12_,8.62µm
_01_,8.44µm
Q[3],8.26µm
Q[2],7.83µm
_00_,7.68µm
S_in,7.07µm
net18,7.015µm
D[2],6.88µm
rst,6.88µm
Q[0],6.81µm
net8,6.74µm
_03_,6.64µm
net1,6.48µm
Q[1],6.47µm
_02_,6.285µm
clknet_1_1__leaf_clk,4.88µm
_17_,4.42µm
_11_,3.875µm
net14,3.505µm
_15_,2.84µm
net16,2.325µm
_13_,2.16µm
_18_,2.065µm
_14_,1.94µm
