Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,232
design__instance__area,1126.08
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00009036427945829928
power__switching__total,0.000019515891835908405
power__leakage__total,1.2881793409746933E-9
power__total,0.0001098814609576948
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.5006032396974909
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5006032396974909
timing__hold__ws__corner:nom_tt_025C_1v80,0.2000802913314117
timing__setup__ws__corner:nom_tt_025C_1v80,5.905655243100546
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.675149
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.5009380829711878
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.5009380829711878
timing__hold__ws__corner:nom_ss_100C_1v60,0.4227085467968455
timing__setup__ws__corner:nom_ss_100C_1v60,4.220031554759698
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.5004394262855745
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.5004394262855745
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12574341923610213
timing__setup__ws__corner:nom_ff_n40C_1v95,6.5311335965820225
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.246868
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.5003966271867647
clock__skew__worst_setup,0.5003966271867647
timing__hold__ws,0.12469436947046468
timing__setup__ws,4.198535415948954
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.244076
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 45.0 45.0
design__core__bbox,5.06 5.44 39.56 38.08
design__io,15
design__die__area,2025
design__core__area,1126.08
design__instance__count__stdcell,60
design__instance__area__stdcell,544.272
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.483333
design__instance__utilization__stdcell,0.483333
design__rows,12
design__rows:unithd,12
design__sites,900
design__sites:unithd,900
design__instance__count__class:inverter,2
design__instance__area__class:inverter,7.5072
design__instance__count__class:sequential_cell,4
design__instance__area__class:sequential_cell,85.0816
design__instance__count__class:multi_input_combinational_cell,18
design__instance__area__class:multi_input_combinational_cell,168.912
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,172
design__instance__area__class:fill_cell,581.808
design__instance__count__class:tap_cell,14
design__instance__area__class:tap_cell,17.5168
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,13
design__io__hpwl,301096
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,94.237
design__instance__displacement__mean,1.121
design__instance__displacement__max,9.497
route__wirelength__estimated,839.234
design__violations,0
design__instance__count__class:timing_repair_buffer,19
design__instance__area__class:timing_repair_buffer,190.182
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,3
design__instance__area__class:clock_buffer,75.072
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,7
global_route__vias,331
global_route__wirelength,1490
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,55
route__net__special,2
route__drc_errors__iter:0,3
route__wirelength__iter:0,871
route__drc_errors__iter:1,0
route__wirelength__iter:1,867
route__drc_errors,0
route__wirelength,867
route__vias,287
route__vias__singlecut,287
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,74.07
timing__unannotated_net__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,0
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.5005466183216336
